Entry_Time,Coin,Side,Entry_Price,Exit_Price,Return_Pct,Raw_PnL,Exit_Time,Duration,Size_Matched,Outlier
2025-10-12 21:07:00,SOL,Long,196.5550635,196.5465435,-0.004334693,-100.8568007,2025-10-12 21:07:00,0:00:03,11837.57,False
2025-10-10 21:03:00,SOL,Short,197.56188,198.729905,-0.591219836,-12497.4239,2025-10-10 21:03:00,0:00:15,10699.62,False
2025-10-22 19:59:00,SOL,Long,180.8363903,180.0506022,-0.434529826,-9499.9811,2025-10-22 19:59:00,0:00:18,12089.75,False
2025-10-22 16:34:00,SOL,Short,183.2381378,183.9076262,-0.365365205,-8142.8267,2025-10-22 16:34:00,0:00:39,12162.76,False
2025-10-13 14:32:00,SOL,Short,192.7233088,193.5015951,-0.403836119,-8792.791001,2025-10-13 14:33:00,0:00:50,11297.63,False
2025-10-14 16:19:00,SOL,Short,202.6697326,203.916246,-0.615046656,-13360.1557,2025-10-14 16:20:00,0:01:04,10718.02,False
2025-10-17 09:00:00,SOL,Short,175.3139069,175.9777552,-0.378662644,-8288.3316,2025-10-17 09:01:00,0:01:04,12485.28,False
2025-09-30 13:53:00,SOL,Long,208.6494394,207.9735526,-0.323934167,-5662.005306,2025-09-30 13:54:00,0:01:06,8377.15,False
2025-10-22 14:30:00,SOL,Long,182.5379686,181.7218127,-0.447115706,-10247.0662,2025-10-22 14:31:00,0:01:17,12555.28,False
2025-10-09 16:56:00,SOL,Long,218.0924377,217.2581634,-0.382532466,-6206.550876,2025-10-09 16:58:00,0:01:51,7439.46,False
2025-10-14 01:05:00,SOL,Short,208.1441976,208.8254293,-0.327288339,-7167.545142,2025-10-14 01:07:00,0:02:03,10521.45,False
2025-10-22 21:42:00,SOL,Long,178.4165719,177.6268781,-0.442612327,-9675.841,2025-10-22 21:44:00,0:02:19,12252.65,False
2025-10-22 16:30:00,SOL,Short,182.6417571,183.5193066,-0.480475831,-10850.2063,2025-10-22 16:33:00,0:02:27,12364.21,False
2025-10-24 12:30:00,SOL,Long,195.4480406,193.3342097,-1.081530875,-23284.88318,2025-10-24 12:33:00,0:02:49,11015.49,False
2025-10-07 16:24:00,SOL,Short,222.8648875,223.668245,-0.360468426,-9.407316936,2025-10-07 16:27:00,0:02:56,11.710000000000036,False
2025-10-24 02:39:00,SOL,Short,191.8260135,192.6140652,-0.410815869,-8862.4137,2025-10-24 02:42:00,0:03:11,11245.98,False
2025-10-24 12:30:00,SOL,Long,195.464904,193.3153792,-1.099698593,-23742.21075,2025-10-24 12:33:00,0:03:16,11045.33,False
2025-10-24 12:30:00,SOL,Long,195.4140641,194.4826719,-0.476624986,-10259.7514,2025-10-24 12:33:00,0:03:17,11015.5,False
2025-10-24 12:30:00,SOL,Long,194.7266233,194.1670836,-0.287346252,-6107.688669,2025-10-24 12:33:00,0:03:17,10915.56,False
2025-10-24 12:30:00,SOL,Long,195.464904,193.3342097,-1.090064895,-82.28741385,2025-10-24 12:33:00,0:03:20,38.62,False
2025-10-24 12:30:00,SOL,Long,195.4140641,194.1670836,-0.638122194,-209.9915185,2025-10-24 12:33:00,0:03:21,168.39999999999964,False
2025-10-24 12:30:00,SOL,Long,194.7470562,193.7243108,-0.525166056,-11268.10805,2025-10-24 12:33:00,0:03:22,11017.51,False
2025-10-24 12:30:00,SOL,Long,194.7266233,193.7243108,-0.514728008,-166.7847948,2025-10-24 12:33:00,0:03:24,166.39999999999964,False
2025-10-24 12:30:00,SOL,Long,194.7470562,193.3153792,-0.735146939,-52.44232936,2025-10-24 12:33:00,0:03:26,36.63,False
2025-10-10 21:03:00,SOL,Short,197.8213059,198.4714897,-0.328672292,-1.404397053,2025-10-10 21:07:00,0:03:32,2.1599999999998545,False
2025-09-29 13:10:00,SOL,Short,205.2657811,205.8904376,-0.304315941,-0.537204584,2025-09-29 13:14:00,0:03:43,0.8600000000005821,False
2025-09-29 13:10:00,SOL,Short,205.2657811,205.9693799,-0.342774511,-6439.265645,2025-09-29 13:14:00,0:03:44,9151.9,False
2025-10-10 21:03:00,SOL,Short,197.8724218,198.4714897,-0.302754606,-6392.820983,2025-10-10 21:07:00,0:03:47,10671.28,False
2025-10-24 13:45:00,SOL,Long,191.5775491,191.0649545,-0.267565032,-5769.287313,2025-10-24 13:48:00,0:03:47,11255.07,False
2025-10-24 11:29:00,SOL,Long,191.5475963,190.7454334,-0.41877996,-9039.478,2025-10-24 11:33:00,0:04:20,11268.88,False
2025-09-30 13:56:00,SOL,Long,208.1466154,207.3065942,-0.403571853,-7054.564834,2025-09-30 14:00:00,0:04:25,8398.08,False
2025-09-29 13:10:00,SOL,Short,205.2657811,205.82,-0.270000634,-0.016626567,2025-09-29 13:15:00,0:04:28,0.03,False
